A: 00 F: 00 B: 00 C: 00 D: 00 E: 00 H: 00 L: 00 SP: 0000 PC: 0000 | 31
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: d6 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: d6 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: d5 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: d5 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: d5 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: d4 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: d4 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: d4 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: d3 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: d3 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: d3 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: d2 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: d2 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: d2 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: d1 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: d1 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: d1 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: d0 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: d0 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: d0 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: cf SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: cf SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: cf SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: ce SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: ce SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: ce SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: cd SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: cd SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: cd SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: cc SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: cc SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: cc SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: cb SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: cb SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: cb SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: ca SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: ca SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: ca SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c9 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c9 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c9 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c8 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c8 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c8 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c7 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c7 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c7 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c6 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c6 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c6 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c5 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c5 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c5 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c4 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c4 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c4 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c3 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c3 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c3 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c2 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c2 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c2 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c1 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c1 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c1 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c0 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c0 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: c0 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: bf SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: bf SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: bf SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: be SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: be SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: be SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: bd SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: bd SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: bd SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: bc SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: bc SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: bc SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: bb SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: bb SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: bb SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: ba SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: ba SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: ba SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b9 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b9 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b9 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b8 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b8 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b8 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b7 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b7 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b7 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b6 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b6 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b6 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b5 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b5 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b5 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b4 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b4 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b4 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b3 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b3 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b3 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b2 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b2 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b2 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b1 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b1 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b1 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b0 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b0 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: b0 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: af SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: af SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: af SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: ae SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: ae SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: ae SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: ad SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: ad SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: ad SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: ac SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: ac SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: ac SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: ab SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: ab SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: ab SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: aa SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: aa SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: aa SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a9 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a9 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a9 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a8 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a8 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a8 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a7 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a7 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a7 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a6 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a6 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a6 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a5 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a5 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a5 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a4 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a4 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a4 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a3 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a3 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a3 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a2 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a2 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a2 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a1 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a1 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a1 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a0 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a0 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: a0 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 9f SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 9f SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 9f SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 9e SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 9e SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 9e SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 9d SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 9d SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 9d SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 9c SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 9c SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 9c SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 9b SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 9b SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 9b SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 9a SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 9a SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 9a SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 99 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 99 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 99 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 98 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 98 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 98 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 97 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 97 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 97 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 96 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 96 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 96 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 95 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 95 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 95 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 94 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 94 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 94 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 93 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 93 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 93 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 92 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 92 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 92 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 91 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 91 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 91 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 90 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 90 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 90 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 8f SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 8f SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 8f SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 8e SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 8e SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 8e SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 8d SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 8d SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 8d SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 8c SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 8c SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 8c SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 8b SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 8b SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 8b SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 8a SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 8a SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 8a SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 89 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 89 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 89 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 88 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 88 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 88 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 87 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 87 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 87 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 86 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 86 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 86 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 85 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 85 SP: fffe PC: 000a | 20
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 85 SP: fffe PC: 0007 | 32
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 84 SP: fffe PC: 0008 | cb
A: 00 F: 20 B: 00 C: 00 D: 00 E: 00 H: 97 L: 84 SP: fffe PC: 000a | 20
